OBS	Resp	PPV
-4.8179	0.008	0.1123
-4.8118	0.0081	0.1122
-4.764	0.0085	0.1121
-4.7051	0.009	0.1124
-4.6973	0.009	0.1125
-4.6877	0.0091	0.1126
-4.6815	0.0092	0.1127
-4.672	0.0093	0.1128
-4.6683	0.0093	0.1129
-4.6625	0.0094	0.113
-4.6607	0.0094	0.1131
-4.6573	0.0094	0.1132
-4.6527	0.0094	0.1133
-4.6504	0.0095	0.1134
-4.6481	0.0095	0.1135
-4.6437	0.0095	0.1136
-4.6398	0.0096	0.1137
-4.6365	0.0096	0.1138
-4.6347	0.0096	0.1139
-4.6337	0.0096	0.114
-4.6318	0.0096	0.1141
-4.6295	0.0097	0.1142
-4.6269	0.0097	0.1143
-4.625	0.0097	0.1144
-4.6229	0.0097	0.1145
-4.6219	0.0097	0.1146
-4.6194	0.0098	0.1147
-4.6181	0.0098	0.1148
-4.6125	0.0098	0.1149
-4.6109	0.0098	0.115
-4.609	0.0099	0.1151
-4.6078	0.0099	0.1152
-4.6059	0.0099	0.1153
-4.6037	0.0099	0.1154
-4.6017	0.0099	0.1155
-4.6001	0.01	0.1156
-4.5991	0.01	0.1157
-4.5981	0.01	0.1158
-4.5969	0.01	0.1159
-4.5948	0.01	0.116
-4.5932	0.01	0.1161
-4.5921	0.01	0.1162
-4.5884	0.0101	0.1163
-4.5876	0.0101	0.1164
-4.5864	0.0101	0.1165
-4.585	0.0101	0.1166
-4.5842	0.0101	0.1167
-4.5828	0.0101	0.1168
-4.5803	0.0101	0.1169
-4.5787	0.0102	0.117
-4.5775	0.0102	0.1171
-4.5761	0.0102	0.1172
-4.5751	0.0102	0.1173
-4.5738	0.0102	0.1174
-4.5715	0.0102	0.1175
-4.5699	0.0103	0.1176
-4.5688	0.0103	0.1177
-4.5676	0.0103	0.1178
-4.5669	0.0103	0.1179
-4.5661	0.0103	0.118
-4.5643	0.0103	0.1181
-4.5623	0.0103	0.1182
-4.5614	0.0103	0.1183
-4.5602	0.0104	0.1184
-4.5591	0.0104	0.1185
-4.5584	0.0104	0.1186
-4.5573	0.0104	0.1187
-4.5566	0.0104	0.1188
-4.5558	0.0104	0.1189
-4.5549	0.0104	0.119
-4.5541	0.0104	0.1191
-4.5535	0.0104	0.1192
-4.5526	0.0104	0.1193
-4.5519	0.0104	0.1194
-4.5515	0.0104	0.1195
-4.55	0.0105	0.1196
-4.5488	0.0105	0.1197
-4.5479	0.0105	0.1198
-4.5462	0.0105	0.1199
-4.5451	0.0105	0.12
-4.5441	0.0105	0.1201
-4.5434	0.0105	0.1202
-4.5427	0.0105	0.1203
-4.5417	0.0105	0.1204
-4.5406	0.0106	0.1205
-4.5401	0.0106	0.1206
-4.5396	0.0106	0.1207
-4.5391	0.0106	0.1208
-4.5383	0.0106	0.1209
-4.5378	0.0106	0.121
-4.5371	0.0106	0.1211
-4.5358	0.0106	0.1212
-4.5354	0.0106	0.1213
-4.5345	0.0106	0.1214
-4.5341	0.0106	0.1215
-4.5336	0.0106	0.1216
-4.533	0.0106	0.1217
-4.5325	0.0106	0.1218
-4.532	0.0106	0.1219
-4.5309	0.0107	0.122
-4.5302	0.0107	0.1221
-4.5294	0.0107	0.1222
-4.5283	0.0107	0.1223
-4.5278	0.0107	0.1224
-4.5268	0.0107	0.1225
-4.5261	0.0107	0.1226
-4.5253	0.0107	0.1227
-4.5251	0.0107	0.1228
-4.5242	0.0107	0.1229
-4.5233	0.0107	0.123
-4.5228	0.0107	0.1231
-4.5221	0.0107	0.1232
-4.5216	0.0108	0.1233
-4.5207	0.0108	0.1234
-4.5194	0.0108	0.1235
-4.5187	0.0108	0.1236
-4.5181	0.0108	0.1237
-4.5177	0.0108	0.1238
-4.5169	0.0108	0.1239
-4.5164	0.0108	0.124
-4.5155	0.0108	0.1241
-4.5143	0.0108	0.1242
-4.5136	0.0108	0.1243
-4.5129	0.0108	0.1244
-4.5122	0.0109	0.1245
-4.5117	0.0109	0.1246
-4.5112	0.0109	0.1247
-4.5105	0.0109	0.1248
-4.5098	0.0109	0.1249
-4.5093	0.0109	0.125
-4.5083	0.0109	0.1251
-4.5078	0.0109	0.1252
-4.5073	0.0109	0.1253
-4.5062	0.0109	0.1254
-4.5058	0.0109	0.1255
-4.5049	0.0109	0.1256
-4.5042	0.0109	0.1257
-4.5032	0.011	0.1258
-4.5024	0.011	0.1259
-4.5018	0.011	0.126
-4.5016	0.011	0.1261
-4.5014	0.011	0.1262
-4.5008	0.011	0.1263
-4.5002	0.011	0.1264
-4.4995	0.011	0.1265
-4.4994	0.011	0.1266
-4.4989	0.011	0.1267
-4.4984	0.011	0.1268
-4.4977	0.011	0.1269
-4.4967	0.011	0.127
-4.4964	0.011	0.1271
-4.496	0.011	0.1272
-4.4949	0.011	0.1273
-4.4942	0.0111	0.1274
-4.4938	0.0111	0.1275
-4.4931	0.0111	0.1276
-4.4926	0.0111	0.1277
-4.4923	0.0111	0.1278
-4.4916	0.0111	0.1279
-4.491	0.0111	0.128
-4.4905	0.0111	0.1281
-4.4901	0.0111	0.1282
-4.4899	0.0111	0.1283
-4.4894	0.0111	0.1284
-4.489	0.0111	0.1285
-4.4884	0.0111	0.1286
-4.4873	0.0111	0.1287
-4.4868	0.0111	0.1288
-4.4863	0.0111	0.1289
-4.4859	0.0111	0.129
-4.4847	0.0112	0.1291
-4.4835	0.0112	0.1292
-4.483	0.0112	0.1293
-4.4824	0.0112	0.1294
